Country,Name of holiday,Date of holiday,Year of event,Independence from,Event commemorated and notes
Afghanistan,Afghan Independence Day (Afghan Victory Day),August 19,1919[2],United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]"
Albania,Flag Day (Dita e Flamurit),November 28,1912[2],Ottoman Empire,"Albanian Declaration of Independence. The following day, November 29, is celebrated as the Liberation Day and commemorates the end of the German occupation in 1944.[4]"
Algeria,Independence Day,July 5,1962[2],France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]"
Andorra,None,,,,
Angola,Independence Day,November 11,1975[2],Portugal,"The Alvor Agreement, signed on 15 January 1975, granted Angola independence from Portugal on 11 November, ending the Angolan War of Independence.[7]"
Antigua and Barbuda,Independence Day,November 1,1981[2],United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9]
Argentina,Independence Day,July 9,1816[10],Spanish Empire,Argentine Declaration of Independence
Armenia,Republic Day,May 28,1918[11],Russian Soviet Federative Socialist Republic,Declaration of Independence of Armenia (1918)
Australia,None,,,,Australia Day (January 26) commemorates arrival of the First Fleet of British ships and is not an independence day.
Austria,National Day,October 26,1955[2],"Allied occupying powers (France, United Kingdom, United States, and Soviet Union)",Declaration of Neutrality
Azerbaijan,Republic Day,May 28,1918[2],Russian Soviet Federative Socialist Republic,Declaration of Independence (Azerbaijan)
"Bahamas, The",Independence Day,July 10,1973[2],United Kingdom,Effective date of The Bahamas Independence Order 1973[13]
Bahrain,Independence Day,December 16,1971[2],United Kingdom,Ascension of Isa bin Salman Al Khalifa to the throne[14]
Bangladesh,Independence Day,March 26,1971[2],Pakistan,Proclamation of Bangladeshi Independence
Barbados,Independence Day,November 30,1966[2],United Kingdom,Effective date of the Barbados Independence Act 1966
Belarus,Independence Day,July 3,1944[2],Nazi Germany,The liberation of Minsk after several years of German occupation in 1944. Two other independence days – March 25 (proclamation of the Belarusian People's Republic in 1918) and July 27 (independence from the Soviet Union in 1990) – are commemorated unofficially.[15]
Belgium,National Day,July 21,1831[2],United Netherlands,Ascension of Leopold of Saxe-Coburg-Saalfeld to the throne[16]
Belize,Independence Day,September 21,1981[2],United Kingdom,Effective day of the Belize Act 1981[17]
Benin,Independence Day,August 1,1960[2],France,Effective date of the agreement with France signed on July 11 creating the independent Republic of Dahomey[18]
Bhutan,None,,,,
Bolivia,Independence Day,August 6,1825[2],Spain,Bolivian Declaration of Independence
Bosnia and Herzegovina,Independence Day,March 1,1992[2],Socialist Federal Republic of Yugoslavia,1992 Bosnian independence referendum
Botswana,Independence Day,September 30,1966[2],United Kingdom,Effective date of the Botswana Independence Act 1966[19]
Brazil,Independence Day (Dia da Independência),September 7,1822[2],"United Kingdom of Portugal, Brazil and the Algarves",Declaration of independence by Pedro I of Brazil (see Independence of Brazil)[20]
Brunei,National Day,February 23,1984[2],United Kingdom,"Brunei gained full independence effective January 1, 1984 under the Treaty of Friendship and Co-operation of 7 January 1979 between United Kingdom and Brunei.[21] However, the celebrations of the first National Day were delayed until February 23 and that day continues to be celebrated since.[22]"
Bulgaria,Liberation Day,March 3,1878[2],Ottoman Empire,Treaty of San Stefano which created the autonomous Principality of Bulgaria[23]
Burkina Faso,Proclamation of Independence Day,December 11,1958[2],France,Effective date when French Upper Volta became an autonomous republic in the French Community[2]
Burundi,Independence Day,July 1,1962[2],Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27]
Cambodia,Independence Day,November 9,1953[2],France,"Ceremony transferring military from French to Cambodian officials based on a military hand-over agreement reached on October 17, 1953[28][29]"
Cameroon,None,,,,"Cameroon gained independence on January 1, 1960, but does not celebrate that date. Instead, it celebrates the National Day on May 20 commemorating the 1972 Cameroonian constitutional referendum.[30]"
Canada,None,,,,Canada Day on July 1 commemorates the establishment of the Dominion of Canada in 1867.[2][31]
Cape Verde,Independence Day,July 5,1975[2],Portugal,"Effective date of the Agreement Between Portugal and Partido Africano para a Independência da Guiné e Cabo Verde (PAIGC) signed on December 18, 1974[32]"
Central African Republic,National Day,December 1,1958[2],France,Effective date when Central African Republic became an autonomous republic of the French Community[33]
Chad,Republic Day,November 28,1958[35],France,Effective date when Chad became an autonomous republic in the French Community[36]
Chile,Independence Day (part of Fiestas Patrias),September 18,1810[2],Spanish Empire,"Establishment of the Government Junta of Chile.[37] The following day, September 19, is celebrated as the Army Day.[38] The two holidays collectively are known as Fiestas Patrias.[39]"
"China, People's Republic of",None,,,,"National Day commemorates the founding of the People's Republic of China on October 1, 1949.[2]"
"China, Republic of",None,,,,"National Day commemorates the start of the Wuchang Uprising on October 10, 1911 which eventually led to the collapse of the Qing dynasty and the establishment of the Republic of China on January 1, 1912.[40] It was officially celebrated in mainland China until 1949, and in Taiwan since 1945."
Colombia,Independence Day,July 20,1810[2],Spanish Empire,Colombian Declaration of Independence
Comoros,Independence Day,July 6,1975[2],France,Unilateral declaration of independence by the Chamber of Deputies of Comoros following the 1974 Comorian independence referendum[41]
"Congo, Democratic Republic of the",Independence Day,June 30,1960[2],Belgium,"Effective date of the Treaty of Friendship, Assistance and Co-operation between Belgium and the Congo concluded on June 29, 1960[42]"
"Congo, Republic of the",Republic Day,November 28,1958[43],France,Effective date when Congo became an autonomous republic in the French Community[43]
Costa Rica,Independence Day,September 15,1821[2],Spanish Empire,Act of Independence of Central America[citation needed]
Croatia,Statehood Day,May 30[44],1990[45],SFR Yugoslavia,"First session of the Croatian Parliament following the 1990 Croatian parliamentary election.[45] October 8 (when the parliament adopted a decision to sever constitutional relations with Yugoslavia in 1991) and June 25 (when the parliament voted for independence in 1991) were also celebrated as independence days.[2] After the 2019 changes to the law on public holidays, October 8 is the Parliament Day and June 25 is the Independence Day, but they are memorial days and not public holidays.[44]"
Cuba,Commencement of the Wars of Independence[46],October 10,1868[47],Spanish Empire,Call to rebellion (known as Grito de Yara) by sugar planter Carlos Manuel de Cespedes that led to the Ten Years' War for independence[48]
Cyprus,National Day,April 1,1955[49],United Kingdom,1 April attacks that started the Cyprus Emergency[49]
Czech Republic,Independence Day,October 28,1918[2],Austria-Hungary,Independence declaration by the Czechoslovak National Council[51]
Denmark,None,,,,
Djibouti,Independence Day,June 27,1977[2],France,
Dominica,Independence Day,November 3,1978[2],United Kingdom,
Dominican Republic,,February 27,1821 and 1844,Spain,"Independence from Spain in December 1821.[54] Independence re-declared from Haiti in 1844, after a 22-year occupation."
East Timor,,May 20,2002,Portugal,"East Timor was invaded by Indonesia from 1975 to 1999, officially it never ceased to be considered as administrated by Portugal."
Ecuador,Independence Day,August 10,1809[2],Spanish Empire,"Proclaimed independence on August 10, 1809, but failed with the execution of all the conspirators of the movement on August 2, 1810."
Egypt,None,,,,"Unilateral Declaration of Egyptian Independence was issued on February 28, 1922, but Egypt does not celebrate this date."
El Salvador,Independence Day,September 15,1821[2],Spanish Empire,Act of Independence of Central America[citation needed]
Equatorial Guinea,,October 12,1968,Spain,
Eritrea,Independence Day,May 24,1991[2],Ethiopia,
Estonia,Independence Day,February 24,1918[2],Russian Soviet Federative Socialist Republic,Estonian Declaration of Independence
Eswatini,Somhlolo Day,September 6,1968[2],United Kingdom,"Named for Ngwane IV, Somhlolo, who reigned from 1815 to 1836 and created a kingdom comparable to the Zulu, the Maroti, or the Pedi."
Ethiopia,None,,,,
Fiji,Fiji Day,October 10,1970[2],United Kingdom,Instruments of Independence
